,0,1
0,4981,sweet
1,4916,finish
2,4857,cup
3,4755,mouthfeel
4,4661,aroma
5,4016,chocolate
6,3837,acidity
7,3581,toned
8,2100,notes
9,1991,structure
10,1943,syrupy
11,1921,tart
12,1758,cocoa
13,1744,fruit
14,1661,dark
15,1602,flowers
16,1578,richly
17,1517,cedar
18,1491,sweetly
19,1400,rich
20,1378,flavor
21,1298,crisp
22,1279,long
23,1260,nib
24,1205,like
25,1133,balanced
26,1119,floral
27,1106,zest
28,1084,savory
29,1044,juicy
30,987,smooth
31,967,lightly
32,961,hint
33,947,gently
34,940,bright
35,912,resonant
36,904,milk
37,889,almond
38,874,fresh
39,844,satiny
40,844,full
41,833,drying
42,832,deeply
43,824,crisply
44,811,lemon
45,806,orange
46,805,deep
47,799,silky
48,796,consolidates
49,754,nut
50,741,complex
51,739,espresso
52,704,evaluated
53,699,chocolaty
54,693,cut
55,671,delicate
56,661,round
57,651,small
58,646,roasted
59,645,saturated
60,626,parts
61,617,pungent
62,599,hints
63,598,black
64,578,apricot
65,576,dried
66,575,honey
67,575,cacao
68,569,sandalwood
69,561,hazelnut
70,554,lively
71,549,brisk
72,548,short
73,530,fir
74,513,plush
75,512,cherry
76,482,aromatic
77,478,oak
78,471,three
79,463,around
80,462,carry
81,461,caramel
82,461,baking
83,458,delicately
84,455,citrus
85,454,wood
86,448,velvety
87,446,gentle
88,429,grapefruit
89,416,currant
90,416,bittersweet
91,408,tangerine
92,393,butter
93,386,narcissus
94,378,syrup
95,376,lavender
96,374,jasmine
97,371,undertones
98,359,though
99,358,vibrant
100,352,light
101,347,honeysuckle
102,341,magnolia
103,337,plum
104,336,spice
105,330,high
106,329,baker
107,315,pink
108,310,ripe
109,310,molasses
110,307,freesia
111,305,peach
112,302,centers
113,301,dry
114,290,quietly
115,284,lily
116,276,raspberry
117,273,vanilla
118,270,berry
119,259,rose
120,259,lilac
121,258,particular
122,258,leads
123,257,carries
124,253,creamy
125,252,red
126,242,quiet
127,241,tobacco
128,241,slightly
129,238,sweetness
130,238,sugar
131,237,layered
132,237,date
133,236,spicy
134,232,forward
135,231,supported
136,230,cashew
137,227,maple
138,221,buoyant
139,220,scorched
140,219,verbena
141,219,suggestions
142,216,intense
143,213,strawberry
144,207,soft
145,207,apple
146,205,mango
147,202,note
148,200,peppercorn
149,197,blossom
150,196,raisin
151,193,roundly
152,190,rather
153,190,powder
154,187,grape
155,185,gardenia
156,183,viscous
157,183,roast
158,183,pipe
159,181,blueberry
160,178,lime
161,177,lush
162,177,brown
163,175,walnut
164,171,fudge
165,166,tones
166,163,driven
167,163,coffee
168,162,wisteria
169,161,rounded
170,160,star
171,160,musk
172,159,agave
173,158,citrusy
174,158,blackberry
175,155,yet
176,155,two
177,155,pomegranate
178,151,marjoram
179,146,thyme
180,141,ken
181,141,clean
182,139,tea
183,139,dominates
184,137,pear
185,137,nougat
186,136,continued
187,135,guava
188,133,brandy
189,131,tamarind
190,131,blood
191,130,lychee
192,128,night
193,128,myrrh
194,127,bergamot
195,126,cinnamon
196,125,violet
197,125,rounding
198,123,florals
199,122,wine
200,120,body
201,119,pistachio
202,119,candied
203,117,ounce
204,115,brittle
205,113,complicated
206,111,nuanced
207,111,framed
208,110,toffee
209,110,pineapple
210,110,intricate
211,110,hop
212,108,brightly
213,107,fine
214,106,backgrounded
215,105,zesty
216,105,softly
217,105,persists
218,105,frankincense
219,105,complexity
220,104,earth
221,101,simple
222,101,dominate
223,101,complexly
224,100,keurig
225,100,buttery
226,99,rhododendron
227,98,toward
228,97,using
229,97,clove
230,96,green
231,96,flavors
232,96,character
233,95,leaning
234,94,brewing
235,93,resonantly
236,93,mulberry
237,92,lean
238,92,distinct
239,91,subtly
240,91,big
241,90,tartly
242,90,lingering
243,90,edge
244,90,brewed
245,89,stone
246,89,smoky
247,89,single
248,89,serve
249,89,device
250,89,bit
251,89,aromatics
252,88,serving
253,88,muted
254,87,capsule
255,87,blooming
256,86,herb
257,85,white
258,84,wild
259,84,pleasing
260,83,turns
261,83,moist
262,82,sage
263,82,cleanly
264,81,particularly
265,81,orangy
266,81,ginger
267,81,fruity
268,81,candy
269,80,plump
270,80,coconut
271,79,elegantly
272,77,almost
273,76,roasty
274,76,produce
275,76,intensely
276,76,centered
277,76,barrel
278,75,amber
279,74,butterscotch
280,73,fades
281,73,elegant
282,72,perhaps
283,72,multi
284,72,banana
285,71,nectarine
286,71,co
287,68,laden
288,67,pungently
289,67,pecan
290,67,fig
291,66,cappuccino
292,65,spices
293,65,expressed
294,65,balance
295,64,slight
296,64,persimmon
297,64,lemony
298,64,flower
299,64,anise
300,63,suggestion
301,63,profile
302,63,earthy
303,62,vibrantly
304,62,persist
305,62,medium
306,62,low
307,62,impressively
308,61,taster
309,61,scaled
310,60,platinum
311,59,rounds
312,59,pert
313,59,hibiscus
314,58,meyer
315,58,intricately
316,57,rum
317,57,lead
318,57,herbaceous
319,56,tropical
320,56,redolent
321,56,mushroom
322,55,whisky
323,55,mildly
324,55,concord
325,55,b
326,54,subtle
327,54,passion
328,54,nutty
329,54,jam
330,54,fermenty
331,54,astringency
332,52,shot
333,52,salty
334,52,nicely
335,51,complete
336,50,pine
337,50,k
338,50,carob
339,50,caramelly
340,49,throughout
341,49,simplifies
342,48,cane
343,48,astringent
344,47,well
345,47,musky
346,47,heavy
347,47,found
348,47,complications
349,46,pleasingly
350,46,cocoaish
351,45,salted
352,45,pleasantly
353,45,original
354,45,melon
355,45,lingers
356,45,impressive
357,45,faint
358,45,amplified
359,44,top
360,44,spearmint
361,44,smoothly
362,44,plumeria
363,44,nutmeg
364,44,nutella
365,43,mild
366,43,integrated
367,42,macadamia
368,42,lushly
369,42,depth
370,42,cools
371,41,tomato
372,41,suggesting
373,41,sensation
374,41,minty
375,41,far
376,41,bing
377,40,pie
378,40,papaya
379,40,ferment
380,40,distinctly
381,40,cardamom
382,39,woody
383,39,prune
384,39,orchid
385,39,leanish
386,39,distinctive
387,39,continuing
388,39,cedary
389,38,watermelon
390,38,saturates
391,38,mesquite
392,38,bitter
393,37,sweetens
394,37,passionfruit
395,37,ml
396,37,leaf
397,37,buoyantly
398,37,brazil
399,36,rings
400,36,grappa
401,35,throughline
402,35,quite
403,35,pronounced
404,35,linger
405,35,carrying
406,34,surprisingly
407,34,straightforward
408,34,softens
409,34,saturate
410,34,mint
411,34,goji
412,34,dominated
413,33,raisiny
414,33,leaves
415,33,engaging
416,33,edged
417,32,vivacious
418,32,surfaces
419,32,lemongrass
420,32,ethan
421,32,consolidating
422,32,charred
423,32,briskly
424,31,lyric
425,31,fallen
426,31,complication
427,31,bitterish
428,30,winy
429,30,sassafras
430,30,resurfacing
431,30,leading
432,30,golden
433,30,fragrant
434,30,enveloped
435,30,berries
436,30,bay
437,29,whole
438,29,unusual
439,29,satisfying
440,29,malt
441,29,maintains
442,28,sustained
443,28,rye
444,28,resonates
445,28,pretty
446,28,opulent
447,28,lyrically
448,28,cranberry
449,28,carried
450,28,bodied
451,28,aged
452,27,toasted
453,27,toast
454,27,redwood
455,27,otherwise
456,27,layers
457,27,honeyish
458,27,harmonious
459,27,dusk
460,27,deepens
461,27,classic
462,26,size
463,26,singed
464,26,sean
465,26,range
466,26,lasting
467,26,juniper
468,26,exotic
469,26,exhilarating
470,26,emerges
471,26,deepen
472,26,cumin
473,26,confident
474,26,complicating
475,26,balm
476,25,think
477,25,pungency
478,25,presence
479,25,kumquat
480,25,fermented
481,25,elm
482,25,cherryish
483,25,aromatically
484,25,also
485,24,soften
486,24,retains
487,24,promise
488,24,produced
489,24,nectar
490,24,lyrical
491,24,inviting
492,24,hot
493,24,deepening
494,24,compatible
495,24,bourbon
496,24,along
497,24,allspice
498,23,winey
499,23,richness
500,23,pure
501,23,grams
502,23,coulis
503,23,center
504,23,blend
505,23,andy
506,22,yogurt
507,22,wendy
508,22,turned
509,22,turn
510,22,tangy
511,22,sustains
512,22,supporting
513,22,structured
514,22,steam
515,22,shifting
516,22,prominent
517,22,persistence
518,22,nuance
519,22,mixed
520,22,marmalade
521,22,little
522,22,intensity
523,22,honeydew
524,22,exhilaratingly
525,22,caramelized
526,22,brewer
527,21,way
528,21,wand
529,21,turning
530,21,sugary
531,21,softened
532,21,simplify
533,21,rosemary
534,21,resonate
535,21,resonance
536,21,raw
537,21,quickly
538,21,perfumy
539,21,nespresso
540,21,lantana
541,21,heated
542,21,good
543,21,followed
544,21,fade
545,21,exceptionally
546,21,conventional
547,21,authority
548,21,attractive
549,20,take
550,20,seed
551,20,read
552,20,profoundly
553,20,leather
554,20,harmoniously
555,20,fudgy
556,20,effervescent
557,20,composed
558,20,brandyish
559,20,bean
560,19,taffy
561,19,softening
562,19,rough
563,19,refreshing
564,19,paste
565,19,lactic
566,19,instant
567,19,graham
568,19,freshly
569,19,especially
570,19,drop
571,19,cracker
572,19,cantaloupe
573,19,burned
574,18,water
575,18,textured
576,18,refined
577,18,licorice
578,18,humus
579,18,grapefruity
580,18,deeper
581,18,clover
582,18,blackcurrant
583,17,texture
584,17,support
585,17,stage
586,17,saffron
587,17,pomelo
588,17,penetrating
589,17,malic
590,17,lasts
591,17,footed
592,17,enveloping
593,17,cider
594,17,characterized
595,17,bold
596,17,baked
597,17,admired
598,16,underneath
599,16,umami
600,16,tartness
601,16,suggests
602,16,proportions
603,16,persuasively
604,16,persistent
605,16,ounces
606,16,mandarin
607,16,jen
608,16,invitingly
609,16,ginseng
610,16,finishing
611,16,deepened
612,16,becomes
613,15,weight
614,15,truffle
615,15,suggest
616,15,returning
617,15,return
618,15,resurface
619,15,praline
620,15,prairie
621,15,port
622,15,poised
623,15,pluot
624,15,perique
625,15,oregano
626,15,one
627,15,much
628,15,moves
629,15,intriguing
630,15,hops
631,15,herby
632,15,four
633,15,fennel
634,15,eucalyptus
635,15,drink
636,15,dessert
637,15,consolidate
638,15,complicates
639,15,candycap
640,15,brightness
641,14,tested
642,14,sweeter
643,14,superb
644,14,ristretto
645,14,remains
646,14,pleasant
647,14,john
648,14,immense
649,14,hips
650,14,herbs
651,14,expressive
652,14,even
653,14,coriander
654,14,complicate
655,14,bark
656,14,although
657,13,version
658,13,subdued
659,13,series
660,13,saltwater
661,13,ring
662,13,resurfaces
663,13,ready
664,13,ranging
665,13,powerful
666,13,marshmallow
667,13,incense
668,13,harmonize
669,13,great
670,13,grass
671,13,concentrated
672,13,cold
673,13,cognac
674,13,cidery
675,13,bloom
676,13,assertive
677,12,touch
678,12,tiger
679,12,straight
680,12,still
681,12,sour
682,12,smoothes
683,12,shiitake
684,12,root
685,12,remain
686,12,plushly
687,12,perceptible
688,12,pepper
689,12,peel
690,12,mustard
691,12,liqueur
692,12,levitating
693,12,kiwi
694,12,intact
695,12,forest
696,12,faintly
697,12,fading
698,12,enlivened
699,12,develops
700,12,combining
701,12,carnation
702,12,balances
703,11,without
704,11,undercurrent
705,11,sustain
706,11,spiced
707,11,ringing
708,11,resounding
709,11,predictably
710,11,meadowy
711,11,lightish
712,11,less
713,11,kohmescher
714,11,goat
715,11,fullish
716,11,flat
717,11,finely
718,11,dominating
719,11,cupper
720,11,cordial
721,11,cited
722,11,cheese
723,11,blooms
724,11,best
725,11,barley
726,11,appealing
727,11,animate
728,11,amplifies
729,10,understated
730,10,underlying
731,10,tendencies
732,10,tannic
733,10,surprising
734,10,supple
735,10,striking
736,10,spirits
737,10,sparkling
738,10,smoke
739,10,simultaneously
740,10,shows
741,10,sample
742,10,salt
743,10,reads
744,10,persisting
745,10,peppermint
746,10,nuts
747,10,newton
748,10,newbom
749,10,massively
750,10,mace
751,10,lavish
752,10,kenya
753,10,influenced
754,10,hill
755,10,gracefully
756,10,graceful
757,10,fat
758,10,extravagant
759,10,equal
760,10,displays
761,10,de
762,10,curd
763,10,combines
764,10,clear
765,10,clarity
766,10,characterize
767,10,cap
768,10,bracing
769,10,box
770,10,alcohol
771,10,acidy
772,10,accessible
773,9,yellow
774,9,vivid
775,9,ultra
776,9,tendency
777,9,strong
778,9,squash
779,9,sarsaparilla
780,9,rounder
781,9,reviewers
782,9,relatively
783,9,recede
784,9,rating
785,9,pruny
786,9,predominate
787,9,perfectly
788,9,parsley
789,9,may
790,9,loquat
791,9,halvah
792,9,grain
793,9,front
794,9,fills
795,9,felt
796,9,excellent
797,9,engagingly
798,9,dynamic
799,9,diruocco
800,9,considerable
801,9,composty
802,9,complemented
803,9,come
804,9,carnal
805,9,cannabis
806,9,cacoa
807,9,bakers
808,9,apodaca
809,9,animated
810,8,whiskey
811,8,underpinnings
812,8,undercurrents
813,8,together
814,8,toasty
815,8,thoroughly
816,8,tastes
817,8,tarragon
818,8,surface
819,8,style
820,8,stonefruit
821,8,shimmer
822,8,settles
823,8,ripely
824,8,reviewed
825,8,recedes
826,8,probably
827,8,prevails
828,8,plus
829,8,petrichor
830,8,peppery
831,8,paprika
832,8,overripe
833,8,musty
834,8,marzipan
835,8,malty
836,8,lovely
837,8,kefir
838,8,jong
839,8,jolly
840,8,intensify
841,8,impressed
842,8,immensely
843,8,highlighted
844,8,heavyish
845,8,heavily
846,8,heady
847,8,gooseberry
848,8,giddily
849,8,fulfills
850,8,format
851,8,foregrounded
852,8,focused
853,8,flowering
854,8,extends
855,8,explicit
856,8,expansive
857,8,empty
858,8,elevated
859,8,dominant
860,8,descriptors
861,8,crisper
862,8,containing
863,8,chewy
864,8,brightening
865,8,barely
866,8,balsa
867,8,authoritative
868,8,anchored
869,8,added
870,8,acid
871,7,vegetal
872,7,table
873,7,sweetening
874,7,sweeten
875,7,sumatra
876,7,sugarcane
877,7,starfruit
878,7,side
879,7,sharp
880,7,ringingly
881,7,rice
882,7,reminiscent
883,7,rancher
884,7,quality
885,7,points
886,7,opulently
887,7,oaky
888,7,nose
889,7,move
890,7,modulating
891,7,melange
892,7,malted
893,7,layer
894,7,lavishly
895,7,last
896,7,laced
897,7,intrigue
898,7,intensifies
899,7,infused
900,7,inflected
901,7,impact
902,7,however
903,7,home
904,7,grapy
905,7,fully
906,7,extraordinary
907,7,extraordinarily
908,7,emerge
909,7,dries
910,7,cushiony
911,7,cream
912,7,continues
913,7,confidently
914,7,compelling
915,7,comes
916,7,classically
917,7,boysenberry
918,7,bottom
919,7,background
920,7,associated
921,7,asian
922,7,aromas
923,7,alyssum
924,7,akin
925,6,wide
926,6,whisper
927,6,whereas
928,6,unsweetened
929,6,tone
930,6,thin
931,6,theme
932,6,tangelo
933,6,taking
934,6,survive
935,6,suavely
936,6,stated
937,6,somewhat
938,6,softer
939,6,showing
940,6,sharply
941,6,servings
942,6,seductively
943,6,sauce
944,6,roses
945,6,robust
946,6,retain
947,6,remarkably
948,6,refreshingly
949,6,realcup
950,6,quiets
951,6,powerfully
952,6,plummy
953,6,phosphoric
954,6,peanut
955,6,owing
956,6,overall
957,6,opens
958,6,new
959,6,mellow
960,6,medley
961,6,lilting
962,6,liked
963,6,lifted
964,6,levitatingly
965,6,intimations
966,6,influence
967,6,including
968,6,herbal
969,6,grounded
970,6,grandly
971,6,giddy
972,6,generally
973,6,general
974,6,five
975,6,exquisitely
976,6,enticingly
977,6,enjoyed
978,6,elegance
979,6,elderflower
980,6,distant
981,6,displaying
982,6,dill
983,6,despite
984,6,delicacy
985,6,deducted
986,6,cups
987,6,crispness
988,6,cooked
989,6,coherent
990,6,clearly
991,6,clay
992,6,caraway
993,6,brightens
994,6,brandied
995,6,board
996,6,billowy
997,6,become
998,6,beautifully
999,6,alive
1000,5,vivaciously
1001,5,vaguely
1002,5,unorthodox
1003,5,uniquely
1004,5,tight
1005,5,taste
1006,5,tamari
1007,5,survives
1008,5,supports
1009,5,sumac
1010,5,strikingly
1011,5,startling
1012,5,sort
1013,5,solid
1014,5,simply
1015,5,shadows
1016,5,sensory
1017,5,senseo
1018,5,seemingly
1019,5,seductive
1020,5,scent
1021,5,rosewood
1022,5,resolves
1023,5,remarked
1024,5,related
1025,5,reduction
1026,5,punchy
1027,5,pumpkin
1028,5,prevail
1029,5,pod
1030,5,plumps
1031,5,piquant
1032,5,perfumed
1033,5,others
1034,5,oolong
1035,5,natural
1036,5,mingle
1037,5,mexican
1038,5,meat
1039,5,meadow
1040,5,maraschino
1041,5,main
1042,5,luxuriously
1043,5,lighter
1044,5,layering
1045,5,key
1046,5,intensifying
1047,5,impossibly
1048,5,impeccably
1049,5,honeyed
1050,5,harmony
1051,5,hard
1052,5,gives
1053,5,functional
1054,5,frangipane
1055,5,foregrounds
1056,5,faded
1057,5,exuberant
1058,5,extravagantly
1059,5,exotically
1060,5,evokes
1061,5,everything
1062,5,everyone
1063,5,enthusiastic
1064,5,enlivening
1065,5,dryish
1066,5,dramatic
1067,5,discreetly
1068,5,developing
1069,5,described
1070,5,dense
1071,5,decisively
1072,5,decadently
1073,5,custard
1074,5,covered
1075,5,could
1076,5,continuity
1077,5,considerably
1078,5,combine
1079,5,cilantro
1080,5,chutney
1081,5,bracingly
1082,5,bitters
1083,5,berryish
1084,5,balancing
1085,5,back
1086,5,array
1087,5,alongside
1088,5,almondy
1089,4,wrapped
1090,4,words
1091,4,whiff
1092,4,wet
1093,4,warming
1094,4,voluptuous
1095,4,vermouth
1096,4,verismo
1097,4,vast
1098,4,unusually
1099,4,unique
1100,4,uneven
1101,4,turmeric
1102,4,turbinado
1103,4,tasters
1104,4,taro
1105,4,taller
1106,4,takes
1107,4,tactful
1108,4,symphonic
1109,4,super
1110,4,suave
1111,4,spicily
1112,4,sourish
1113,4,soaring
1114,4,smokiness
1115,4,slow
1116,4,silkiness
1117,4,silkily
1118,4,showed
1119,4,show
1120,4,shots
1121,4,shadow
1122,4,separately
1123,4,sensations
1124,4,scented
1125,4,sarsparilla
1126,4,roasting
1127,4,richer
1128,4,resoundingly
1129,4,resolving
1130,4,resolve
1131,4,resiny
1132,4,provide
1133,4,prominently
1134,4,preserves
1135,4,present
1136,4,pralines
1137,4,praised
1138,4,pineapply
1139,4,picked
1140,4,paradoxically
1141,4,outlast
1142,4,ongoing
1143,4,oil
1144,4,non
1145,4,mouth
1146,4,mix
1147,4,melodic
1148,4,maybe
1149,4,makes
1150,4,maintaining
1151,4,luscious
1152,4,lot
1153,4,losing
1154,4,longer
1155,4,liquorice
1156,4,lifts
1157,4,lift
1158,4,led
1159,4,intricacy
1160,4,inert
1161,4,hyacinth
1162,4,hand
1163,4,grapey
1164,4,grainy
1165,4,grace
1166,4,goes
1167,4,given
1168,4,give
1169,4,fusion
1170,4,fruits
1171,4,frame
1172,4,forceful
1173,4,fluffy
1174,4,faceted
1175,4,expression
1176,4,entirely
1177,4,enticing
1178,4,energetic
1179,4,emerging
1180,4,elevates
1181,4,elements
1182,4,elderberry
1183,4,drive
1184,4,dogwood
1185,4,distinctively
1186,4,displayed
1187,4,decidedly
1188,4,darker
1189,4,converge
1190,4,contributes
1191,4,concludes
1192,4,completeness
1193,4,comfortable
1194,4,coffees
1195,4,chrysanthemum
1196,4,chestnut
1197,4,cayenne
1198,4,called
1199,4,calla
1200,4,bouquet
1201,4,blossoms
1202,4,bitterness
1203,4,better
1204,4,balsamic
1205,4,ballast
1206,4,backed
1207,4,amplify
1208,4,agreed
1209,4,agreeably
1210,4,adds
1211,4,additional
1212,4,acrid
1213,3,young
1214,3,yam
1215,3,wildly
1216,3,ways
1217,3,walnutty
1218,3,virtually
1219,3,violets
1220,3,vinegar
1221,3,utterly
1222,3,unpleasant
1223,3,undertone
1224,3,underscored
1225,3,tropically
1226,3,trajectory
1227,3,tinged
1228,3,thins
1229,3,things
1230,3,thick
1231,3,term
1232,3,teriyaki
1233,3,tequila
1234,3,tends
1235,3,tempered
1236,3,tassimo
1237,3,tanned
1238,3,tang
1239,3,szechuan
1240,3,sweetened
1241,3,sumptuous
1242,3,succulent
1243,3,stewed
1244,3,steamed
1245,3,stand
1246,3,spectacular
1247,3,somewhere
1248,3,something
1249,3,soluble
1250,3,slowly
1251,3,simplifying
1252,3,sharpness
1253,3,settling
1254,3,set
1255,3,segueing
1256,3,seems
1257,3,scotch
1258,3,saturation
1259,3,running
1260,3,rubbery
1261,3,roughish
1262,3,roastiness
1263,3,revives
1264,3,revive
1265,3,returns
1266,3,retaining
1267,3,restrained
1268,3,resonating
1269,3,remained
1270,3,recovers
1271,3,reassert
1272,3,reappears
1273,3,rated
1274,3,rain
1275,3,quince
1276,3,quieting
1277,3,promised
1278,3,processed
1279,3,point
1280,3,pervasive
1281,3,performance
1282,3,peachy
1283,3,pea
1284,3,partly
1285,3,paper
1286,3,palate
1287,3,onecoffee
1288,3,offers
1289,3,nuttiness
1290,3,nice
1291,3,nibs
1292,3,nevertheless
1293,3,nasturtium
1294,3,nagging
1295,3,mutes
1296,3,mousse
1297,3,mid
1298,3,memory
1299,3,medicinal
1300,3,maintain
1301,3,luxurious
1302,3,loses
1303,3,lose
1304,3,least
1305,3,leans
1306,3,knit
1307,3,juicier
1308,3,juice
1309,3,jammy
1310,3,jackfruit
1311,3,italian
1312,3,introduces
1313,3,intriguingly
1314,3,intoxicatingly
1315,3,intoxicating
1316,3,intensified
1317,3,influences
1318,3,inclined
1319,3,impulses
1320,3,impression
1321,3,impresses
1322,3,immaculately
1323,3,identical
1324,3,hip
1325,3,hinting
1326,3,hinted
1327,3,highland
1328,3,held
1329,3,grow
1330,3,ground
1331,3,grand
1332,3,going
1333,3,gin
1334,3,fulfilling
1335,3,friendly
1336,3,fleeting
1337,3,flawlessly
1338,3,flavored
1339,3,flatness
1340,3,first
1341,3,find
1342,3,finally
1343,3,falls
1344,3,exuberantly
1345,3,exquisite
1346,3,explosively
1347,3,every
1348,3,ethiopia
1349,3,eternal
1350,3,essentially
1351,3,envelopes
1352,3,enough
1353,3,enlivens
1354,3,emphasizing
1355,3,elaborately
1356,3,edgy
1357,3,dynamically
1358,3,dramatically
1359,3,disconcertingly
1360,3,densely
1361,3,deceptively
1362,3,dampened
1363,3,custardy
1364,3,cushioned
1365,3,crispy
1366,3,cotton
1367,3,cookie
1368,3,contribute
1369,3,continue
1370,3,composting
1371,3,complimented
1372,3,completely
1373,3,complement
1374,3,commingle
1375,3,cola
1376,3,cloyingly
1377,3,cloying
1378,3,citric
1379,3,citing
1380,3,chinese
1381,3,characterizes
1382,3,celery
1383,3,cascara
1384,3,cappucino
1385,3,cabernet
1386,3,bunn
1387,3,bubblegum
1388,3,brilliantly
1389,3,bread
1390,3,boldly
1391,3,begins
1392,3,becoming
1393,3,basil
1394,3,basic
1395,3,base
1396,3,backdrop
1397,3,attractively
1398,3,associations
1399,3,aprium
1400,3,appreciated
1401,3,animates
1402,3,anchoring
1403,3,active
1404,3,according
1405,3,accompanied
1406,2,would
1407,2,whatsoever
1408,2,went
1409,2,watery
1410,2,washed
1411,2,walnuts
1412,2,vue
1413,2,vivacity
1414,2,virtuoline
1415,2,vine
1416,2,vegetable
1417,2,vastly
1418,2,varied
1419,2,valued
1420,2,value
1421,2,usual
1422,2,upshot
1423,2,untamed
1424,2,unroasted
1425,2,unpleasantly
1426,2,unmistakable
1427,2,undulating
1428,2,ultimately
1429,2,tuberose
1430,2,tropics
1431,2,triumphs
1432,2,trifle
1433,2,transforms
1434,2,transform
1435,2,traditional
1436,2,touched
1437,2,tiramisu
1438,2,tightens
1439,2,terms
1440,2,tending
1441,2,temperate
1442,2,taut
1443,2,tarter
1444,2,taint
1445,2,symphonically
1446,2,svelte
1447,2,surprise
1448,2,suppressing
1449,2,supportive
1450,2,summer
1451,2,sugared
1452,2,sturdy
1453,2,stunningly
1454,2,stronger
1455,2,stretch
1456,2,sticky
1457,2,starts
1458,2,starchy
1459,2,splendid
1460,2,spectacularly
1461,2,specifically
1462,2,sound
1463,2,softness
1464,2,soapy
1465,2,smoothness
1466,2,smoothing
1467,2,smoothed
1468,2,skins
1469,2,singolo
1470,2,simplified
1471,2,shimmers
1472,2,shimmeringly
1473,2,shimmering
1474,2,shifty
1475,2,sherry
1476,2,sesame
1477,2,semi
1478,2,scores
1479,2,score
1480,2,satiating
1481,2,santo
1482,2,sampled
1483,2,run
1484,2,rubber
1485,2,roughness
1486,2,roquefort
1487,2,role
1488,2,rivo
1489,2,ripens
1490,2,revealing
1491,2,requires
1492,2,remerges
1493,2,remarkable
1494,2,reemerging
1495,2,recommended
1496,2,reasserts
1497,2,reading
1498,2,punctuated
1499,2,process
1500,2,preside
1501,2,presentation
1502,2,precious
1503,2,power
1504,2,potentially
1505,2,post
1506,2,positive
1507,2,plums
1508,2,please
1509,2,play
1510,2,plain
1511,2,perfume
1512,2,patience
1513,2,passionflower
1514,2,part
1515,2,palo
1516,2,package
1517,2,overwhelm
1518,2,overlay
1519,2,outlasts
1520,2,originally
1521,2,originality
