,0,1
0,chocolate,4016
1,acidity,3837
2,syrupy,1943
3,tart,1921
4,cocoa,1758
5,fruit,1744
6,flowers,1602
7,cedar,1517
8,sweetly,1491
9,crisp,1298
10,floral,1119
11,juicy,1044
12,smooth,987
13,lightly,967
14,bright,940
15,milk,904
16,almond,889
17,satiny,844
18,drying,833
19,crisply,824
20,lemon,811
21,orange,806
22,silky,799
23,nut,754
24,complex,741
25,chocolaty,699
26,delicate,671
27,roasted,646
28,saturated,645
29,apricot,578
30,honey,575
31,cacao,575
32,sandalwood,569
33,hazelnut,561
34,lively,554
35,brisk,549
36,fir,530
37,cherry,512
38,aromatic,482
39,oak,478
40,caramel,461
41,delicately,458
42,citrus,455
43,wood,454
44,velvety,448
45,gentle,446
46,grapefruit,429
47,currant,416
48,bittersweet,416
49,tangerine,408
50,butter,393
51,narcissus,386
52,syrup,378
53,lavender,376
54,jasmine,374
55,undertones,371
56,vibrant,358
57,light,352
58,honeysuckle,347
59,magnolia,341
60,plum,337
61,spice,336
62,ripe,310
63,molasses,310
64,freesia,307
65,peach,305
66,dry,301
67,quietly,290
68,lily,284
69,raspberry,276
70,vanilla,273
71,berry,270
72,rose,259
73,lilac,259
74,carries,257
75,creamy,253
76,quiet,242
77,tobacco,241
78,slightly,241
79,sweetness,238
80,sugar,238
81,layered,237
82,date,237
83,spicy,236
84,forward,232
85,cashew,230
86,maple,227
87,buoyant,221
88,scorched,220
89,verbena,219
90,intense,216
91,strawberry,213
92,soft,207
93,apple,207
94,mango,205
95,peppercorn,200
96,blossom,197
97,raisin,196
98,roundly,193
99,rather,190
100,powder,190
101,grape,187
102,gardenia,185
103,viscous,183
104,roast,183
105,blueberry,181
106,lime,178
107,lush,177
108,brown,177
109,walnut,175
110,fudge,171
111,tones,166
112,coffee,163
113,wisteria,162
114,rounded,161
115,musk,160
116,agave,159
117,citrusy,158
118,blackberry,158
119,two,155
120,pomegranate,155
121,marjoram,151
122,thyme,146
123,ken,141
124,clean,141
125,tea,139
126,dominates,139
127,pear,137
128,nougat,137
129,continued,136
130,guava,135
131,brandy,133
132,tamarind,131
133,blood,131
134,lychee,130
135,night,128
136,myrrh,128
137,bergamot,127
138,cinnamon,126
139,violet,125
140,rounding,125
141,florals,123
142,wine,122
143,body,120
144,pistachio,119
145,candied,119
146,ounce,117
147,brittle,115
148,complicated,113
149,framed,111
150,toffee,110
151,pineapple,110
152,intricate,110
153,hop,110
154,brightly,108
155,backgrounded,106
156,zesty,105
157,softly,105
158,persists,105
159,frankincense,105
160,complexity,105
161,earth,104
162,simple,101
163,dominate,101
164,complexly,101
165,keurig,100
166,buttery,100
167,rhododendron,99
168,toward,98
169,clove,97
170,green,96
171,flavors,96
172,character,96
173,brewing,94
174,mulberry,93
175,lean,92
176,distinct,92
177,subtly,91
178,big,91
179,tartly,90
180,lingering,90
181,brewed,90
182,stone,89
183,smoky,89
184,single,89
185,serve,89
186,device,89
187,bit,89
188,aromatics,89
189,serving,88
190,muted,88
191,capsule,87
192,blooming,87
193,herb,86
194,white,85
195,wild,84
196,pleasing,84
197,turns,83
198,moist,83
199,sage,82
200,particularly,81
201,orangy,81
202,ginger,81
203,fruity,81
204,candy,81
205,plump,80
206,coconut,80
207,elegantly,79
208,almost,77
209,roasty,76
210,produce,76
211,barrel,76
212,amber,75
213,butterscotch,74
214,fades,73
215,elegant,73
216,perhaps,72
217,banana,72
218,nectarine,71
219,co,71
220,laden,68
221,pungently,67
222,pecan,67
223,fig,67
224,cappuccino,66
225,spices,65
226,expressed,65
227,balance,65
228,slight,64
229,persimmon,64
230,lemony,64
231,flower,64
232,anise,64
